1012,  5915,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:44,  0,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  6,  0.025075,  10,  13,  2,  0.075075,  0.6, 
1012,  5976,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:44,  0,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  6,  0.025075,  10,  13,  2,  0.075075,  0.6, 
1012,  6037,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:45,  1,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.075075,  6,  0.025075,  10,  13,  2,  0.075075,  1.0, 
1012,  6083,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:45,  1,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  6,  0.075025,  11,  15,  4,  0.025225,  0.6, 
1012,  6103,  completed,  eof,  2014-05-02 04:42:44,  2014-05-02 04:42:45,  1,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  6,  0.075025,  11,  15,  4,  0.025225,  0.6, 
1012,  6140,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:45,  0,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|spParams|synPermInactiveDec_0.025225,  6,  0.075025,  11,  15,  4,  0.025225,  1.0, 
1012,  6168,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:45,  0,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.06012,  6,  0.06004,  11,  16,  3,  0.06012,  0.6, 
1012,  6185,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:45,  0,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.06012,  6,  0.06004,  11,  16,  3,  0.06012,  0.6, 
1012,  6221,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:45,  0,  modelParams|clParams|alpha_0.06004.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.06012,  6,  0.06004,  11,  16,  3,  0.06012,  1.0, 
1012,  6257,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:45,  0,  modelParams|clParams|alpha_0.0125875.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0127625,  6,  0.0125875,  10,  12,  2,  0.0127625,  0.6, 
1012,  6287,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:46,  1,  modelParams|clParams|alpha_0.0125875.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0127625,  6,  0.0125875,  10,  12,  2,  0.0127625,  0.6, 
1012,  6315,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:46,  1,  modelParams|clParams|alpha_0.0125875.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_2.modelParams|spParams|synPermInactiveDec_0.0127625,  6,  0.0125875,  10,  12,  2,  0.0127625,  1.0, 
1012,  6342,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:46,  1,  modelParams|clParams|alpha_0.0357785714286.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0857571428571,  6,  0.0357785714286,  11,  15,  5,  0.0857571428571,  0.6, 
1012,  6367,  completed,  eof,  2014-05-02 04:42:45,  2014-05-02 04:42:46,  1,  modelParams|clParams|alpha_0.0357785714286.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0857571428571,  6,  0.0357785714286,  11,  15,  5,  0.0857571428571,  0.6, 
1012,  6389,  completed,  eof,  2014-05-02 04:42:46,  2014-05-02 04:42:46,  0,  modelParams|clParams|alpha_0.0357785714286.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0857571428571,  6,  0.0357785714286,  11,  15,  5,  0.0857571428571,  1.0, 
